Index,Name,Cuisines,Image_URL,Filename,Image_Source,Resolution,Status,Issues
1,"Dishoom Covent Garden","indian","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg","dishoom-covent-garden-interior-1.jpg","restaurant_website","unknown","high_quality",""
2,"Gymkhana","indian","https://www.gymkhanalondon.com/wp-content/uploads/2021/03/gymkhana-interior-1.jpg","gymkhana-interior-1.jpg","restaurant_website","unknown","high_quality",""
3,"Kricket Soho","indian","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","photo-1565299624946-b28f40a0ca4b","unsplash","1600px","low_quality","unsplash_image;unsplash_image"
4,"Maharaja of India","indian","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","photo-1571091718767-18b5b1457add","unsplash","1600px","low_quality","unsplash_image;unsplash_image"
5,"Aladin Brick Lane","indian","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","photo-1585937421612-70a008356fbe","unsplash","1600px","low_quality","unsplash_image;unsplash_image"
6,"Dishoom Kensington","indian","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg","dishoom-covent-garden-interior-1.jpg","restaurant_website","unknown","high_quality","duplicate_image"
7,"Brigadiers","indian","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","photo-1563379091339-03246963d4d8","unsplash","1600px","low_quality","unsplash_image;unsplash_image"
8,"Cinnamon Bazaar","indian","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","photo-1551218808-93d42e57582b","unsplash","1600px","low_quality","unsplash_image;unsplash_image"
9,"Pravaas - South Kensington","indian","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","photo-1565299624946-b28f40a0ca4b","unsplash","1600px","low_quality","unsplash_image;duplicate_image;unsplash_image"
10,"The India - City Road","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","photo-1551218808-93d42e57582b","unsplash","1600px","low_quality","unsplash_image;duplicate_image;unsplash_image"
