Name,Cuisine,Image,Reason
"Dishoom Covent Garden","indian","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg","high_quality_or_restaurant_website"
"Gymkhana","indian","https://www.gymkhanalondon.com/wp-content/uploads/2021/03/gymkhana-interior-1.jpg","high_quality_or_restaurant_website"
"Dishoom Kensington","indian","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg","high_quality_or_restaurant_website"
"The India - City Road","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"SUSHISAMBA London","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Imperial Treasure Fine Chinese Cuisine","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"MASA TURKISH RESTAURANT","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Gökyüzü Green Lanes","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Dem Restaurant (Traditional Turkish Restaurant, Meze Grill)","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Alanya turkish with fusion","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Brasserie Zedel","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Meet Bros (by Me’nate x Jibby&co.)","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Andy’s Greek Taverna","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Dishoom Canary Wharf","indian","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg","high_quality_or_restaurant_website"
"Sahara Grill Whitechapel","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Mr. White’s English Chophouse London Whitechapel","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"DanDan Aldgate East","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Enigma Pan Asian","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Wah Bey","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Monal Restaurant London","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Banana Leaf","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Zamana","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Singam Bay","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Zahra Grill Restaurant","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Kahani","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Saffron Street","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Sahara Grill","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"PHAT BITE Ilford","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Watan - Afghan & Pakistani Restaurant Ilford","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Array Brasserie & Grill","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Mangal Meze Restaurant","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Meteor Meze & Grill Restaurant","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"The Yummy Greek","modern-european","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Shish LEGENDS Fusion Turkish Meze","modern-european","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"MyShish Romford","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"BISTROTHEQUE","modern-european","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
"Taş Fırın Turkish Restaurant - Shoreditch","modern-european","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","high_quality_or_restaurant_website"
