Venue,Before_Image_URL,After_Image_Path,Reason,New_Source,New_SHA256
"Dishoom Covent Garden","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg","/images/restaurants/dishoom-covent-garden-OZ6OHOJw/indian-dishoom-covent-garden-card-5473b6e1.webp","retained","google_places","e8c5e78c83877dd3af64ea859fa91086b41667ca658444bee610e3c1e6d7764f"
"Gymkhana","https://www.gymkhanalondon.com/wp-content/uploads/2021/03/gymkhana-interior-1.jpg","/images/restaurants/gymkhana-uPIWeLM0/indian-gymkhana-card-52b59631.webp","retained","google_places","c8783a44d6dcb05521c920a3003252aba7c9dc25183645389c7575d515179a83"
"Kricket Soho","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/kricket-soho-2UcQZFVQ/indian-kricket-soho-card-138fc49d.webp","unsplash","google_places","6040324cc1d83980c86aee32babb8f015fc770a1f972ab90a5402fe3e0d70ffc"
"Maharaja of India","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/maharaja-of-india-EVrlil9k/indian-maharaja-of-india-card-51b21829.webp","unsplash","google_places","f44d0725a879ddce1eb83db92d70e27c726aac489c1660b018a865373213d630"
"Aladin Brick Lane","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/aladin-brick-lane-FQXF-uoc/indian-aladin-brick-lane-card-a6f071cd.webp","unsplash","google_places","23ed9dbf9dd11f7663a154357b8f821f0878de5280d9845fedd6008b94735bb1"
"Dishoom Kensington","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg","/images/restaurants/dishoom-kensington-1F6d_5-g/indian-dishoom-kensington-card-65cb2d42.webp","duplicate","google_places","b5fd5d45728aba62e15402407b8ffe491b986d7af2ceef17a89b277f2685119b"
"Brigadiers","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/brigadiers-GVEiDv0Y/indian-brigadiers-card-ce3965af.webp","unsplash","google_places","47eae2c8e5ccef840742d687d0675cd27ee17ccb2b3489de75829d808c89776b"
"Cinnamon Bazaar","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/cinnamon-bazaar-ZAjZBRu4/indian-cinnamon-bazaar-card-b8bd304b.webp","unsplash","google_places","3e400e0d4745467d5e4048fc003106aebad4f69f3db1446f91ef7cd6f346a6b3"
"Pravaas - South Kensington","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/pravaas-south-kensington-KhMpiz4I/indian-pravaas---south-kensington-card-92d84e99.webp","unsplash","google_places","ded1c3830726f6fdef590a88e0b0332b240eb57a98ee11598e7c2bd822bf77b1"
"The India - City Road","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/the-india-city-road-EvFfZ5AI/moderneuropean-the-india---city-road-card-afe1710d.webp","unsplash","google_places","c113d84a0d4ba140c639cb7c3c0b713a3c24214706de5da7df77af789b39c43a"
"Circolo Popolare","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/circolo-popolare-kqYLufoE/italian-circolo-popolare-card-86c085ac.webp","unsplash","google_places","7f2764418479b1ff21e1c118c1eb4ac163e84707e5cb849bb823490b990b174d"
"Grasso","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/grasso-VxepVY0I/italian-grasso-card-45991038.webp","unsplash","google_places","f3ec8f6d05f0156fa5b7ed9cbd353a50eda76054aebfd47475f09d115471e0eb"
"Gloria","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/gloria-fPFxdplY/italian-gloria-card-64c425d4.webp","unsplash","google_places","8408c9ad87209a78cc80c527e0242a849d91adc8c05d4d2b77d802eb4ebe5e9f"
"Bocca di Lupo","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/bocca-di-lupo-P7Z6jOko/italian-bocca-di-lupo-card-639406e7.webp","unsplash","google_places","c1c25196bbc24174053dce8ff8ca2eb0f44b786edf59cfc3be72a0eba1c46711"
"Padella","https://images.unsplash.com/photo-1579725942050-c312f3b1f8d6?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/padella-HPngIeq8/italian-padella-card-45d0e64b.webp","unsplash","google_places","ea610ccf48e9cee35897f857cfbf522f89b81edd48665dbf8d9fe56323a53a16"
"Bancone Covent Garden","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/bancone-covent-garden-WUsAHugI/italian-bancone-covent-garden-card-5bb10d2a.webp","unsplash","google_places","afdeca8d96adbc5ff5a68384f1a808e3ea8ae019e4a85c36a4554c766560d9af"
"Doppo","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/doppo-MCqb9oIE/italian-doppo-card-a185e0de.webp","unsplash","google_places","ca80bc35bffe7e137eca82f264d44e4e83730d15bd3813de4ca6500b84553081"
"manteca","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/manteca-5-ErLMaI/italian-manteca-card-3abb43e4.webp","unsplash","google_places","e95c7ab8a2b93f1f98783f93ceacb61fbba79e08eb14b591916aacde178cb3e8"
"Giulia Restaurant","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/giulia-restaurant-EkK4r0z4/italian-giulia-restaurant-card-069a14bb.webp","unsplash","google_places","764d86fdc4be8da69292d7f2d1fbf64e456ff9036222dc2a4b1cbd65b178dfff"
"Amor Gastronomia","https://images.unsplash.com/photo-1579725942050-c312f3b1f8d6?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/amor-gastronomia-9fVApnuo/italian-amor-gastronomia-card-fa341a2a.webp","unsplash","google_places","9f026c5a4f291233edbde9b024763b9256ee4a57b4adb3b9461598e878853558"
"Zuma London","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/zuma-london-3z813cBw/japanese-zuma-london-card-fb3eb4b9.webp","unsplash","google_places","88f227cafb1496761b6abd9fc2773f29e5201845664f19cd095cb4d738c3e092"
"OITA Soho","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/oita-soho-xrSS0hZo/japanese-oita-soho-card-9d24da78.webp","unsplash","google_places","a1514fb4967e56b676858f4e919b7b304fb60af21b2bd53d4a921a2cf25ef132"
"SUSHISAMBA London","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/sushisamba-london-Ec6MJUBA/moderneuropean-sushisamba-london-card-e0a33915.webp","unsplash","google_places","1512428af2d83d5f64115276f3d2634e6d8292a5de48484872537fec92f699eb"
"Maru London","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/maru-london-yQBXwWAI/japanese-maru-london-card-75428fcd.webp","unsplash","google_places","bc697a8377a6e3cf307010ecefdd5b08457c688b5e91fb57aeae78033b46ebe0"
"SUSHINOEN","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/sushinoen-myiHS2BQ/british-sushinoen-card-9df0da91.webp","unsplash","google_places","27d777dc85a6b574955ee0cc130805f915b8e3d27a3b2b1caf2bdf64a3ceb7ff"
"RAI Restaurant London","https://images.unsplash.com/photo-1505253716362-af3e789f8724?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/rai-restaurant-london-5PZAMF6Q/japanese-rai-restaurant-london-card-5bfd6c69.webp","unsplash","google_places","c5e4eef3ee0def1a96ac45de72bdb2c671eb32f7b619a75a11d12fb0b7f462a3"
"INKO NITO - Soho","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","/images/restaurants/inko-nito-soho-dhJJKNHQ/japanese-inko-nito---soho-card-aed0aaa3.webp","unsplash","google_places","2241d825bfdd7e6753145d6b29d85dabde789c0782ee57ce69be207264125f95"
