Name,Place_ID,Slug,Cuisines,Area,Image_URL,Width,Height,Source,Is_Duplicate,Is_LowRes,Is_Irrelevant,Is_Unsplash,Is_Good,Relevance_Score
"Dishoom Covent Garden","ChIJxZXYx7cEdkgRdgAOZ6OHOJw","dishoom-covent-garden-OZ6OHOJw","indian","12 Upper St Martin's Ln, London","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg",,,"other",false,false,false,false,false,0
"Gymkhana","ChIJtwn55ikFdkgRAvOuPIWeLM0","gymkhana-uPIWeLM0","indian","42 Albemarle St, London","https://www.gymkhanalondon.com/wp-content/uploads/2021/03/gymkhana-interior-1.jpg",,,"other",false,false,false,false,false,0
"Kricket Soho","ChIJXWnxCtQEdkgRcG32UcQZFVQ","kricket-soho-2UcQZFVQ","indian","12 Denman St, London","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format",1600,1200,"unsplash",false,false,false,true,false,0
"Maharaja of India","ChIJS_aY-s0EdkgRbxbEVrlil9k","maharaja-of-india-EVrlil9k","indian","19A Charing Cross Rd, London","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format",1600,1200,"unsplash",false,false,false,true,false,0
"Aladin Brick Lane","ChIJ_YxXC7YcdkgR7WdFQXF-uoc","aladin-brick-lane-FQXF-uoc","indian","132 Brick Ln, London","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format",1600,1200,"unsplash",false,false,false,true,false,0
"Dishoom Kensington","ChIJv_uo9_YPdkgRq2K1F6d_5-g","dishoom-kensington-1F6d_5-g","indian","Barkers Shopping Arcade, 4 Derry St, London","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg",,,"other",true,false,false,false,false,0
"Brigadiers","ChIJU1e3CVUDdkgRbWhGVEiDv0Y","brigadiers-GVEiDv0Y","indian","1-5 Bloomberg Arcade, London","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format",1600,1200,"unsplash",false,false,false,true,false,0
"Cinnamon Bazaar","ChIJMyKwDswEdkgRlLsZAjZBRu4","cinnamon-bazaar-ZAjZBRu4","indian","28 Maiden Ln, London","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format",1600,1200,"unsplash",false,false,false,true,false,0
"Pravaas - South Kensington","ChIJ__9DAWgFdkgRj0UKhMpiz4I","pravaas-south-kensington-KhMpiz4I","indian","PRAVAAS, 3 Glendower Pl, London","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format",1600,1200,"unsplash",true,false,false,true,false,0
"The India - City Road","ChIJVYzv03EddkgR73xEvFfZ5AI","the-india-city-road-EvFfZ5AI","modern-european","20 City Rd, London","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format",1600,1200,"unsplash",true,false,false,true,false,0
