Name,Cuisine,Before_Image,After_Image,Local_Card_Path,Local_Hero_Path,Source,Reason,Cuisine_Match,Cuisine_Match_Score
"Kricket Soho","indian","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=indian_curry_photo&key=PLACEHOLDER","/images/restaurants/kricket-soho-2UcQZFVQ/indian-kricket-soho-card-539ce48b.webp","/images/restaurants/kricket-soho-2UcQZFVQ/indian-kricket-soho-hero-539ce48b.webp","google_places","google_places_api",true,2
"Maharaja of India","indian","https://images.unsplash.com/photo-1571091718767-18b5b1457add?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=indian_curry_photo&key=PLACEHOLDER","/images/restaurants/maharaja-of-india-EVrlil9k/indian-maharaja-of-india-card-539ce48b.webp","/images/restaurants/maharaja-of-india-EVrlil9k/indian-maharaja-of-india-hero-539ce48b.webp","google_places","google_places_api",true,2
"Aladin Brick Lane","indian","https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=indian_curry_photo&key=PLACEHOLDER","/images/restaurants/aladin-brick-lane-FQXF-uoc/indian-aladin-brick-lane-card-539ce48b.webp","/images/restaurants/aladin-brick-lane-FQXF-uoc/indian-aladin-brick-lane-hero-539ce48b.webp","google_places","google_places_api",true,2
"Dishoom Kensington","indian","https://www.dishoom.com/wp-content/uploads/2021/03/dishoom-covent-garden-interior-1.jpg","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=indian_curry_photo&key=PLACEHOLDER","/images/restaurants/dishoom-kensington-1F6d_5-g/indian-dishoom-kensington-card-539ce48b.webp","/images/restaurants/dishoom-kensington-1F6d_5-g/indian-dishoom-kensington-hero-539ce48b.webp","google_places","google_places_api",true,2
"Brigadiers","indian","https://images.unsplash.com/photo-1563379091339-03246963d4d8?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=indian_curry_photo&key=PLACEHOLDER","/images/restaurants/brigadiers-GVEiDv0Y/indian-brigadiers-card-539ce48b.webp","/images/restaurants/brigadiers-GVEiDv0Y/indian-brigadiers-hero-539ce48b.webp","google_places","google_places_api",true,2
"Cinnamon Bazaar","indian","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=indian_curry_photo&key=PLACEHOLDER","/images/restaurants/cinnamon-bazaar-ZAjZBRu4/indian-cinnamon-bazaar-card-539ce48b.webp","/images/restaurants/cinnamon-bazaar-ZAjZBRu4/indian-cinnamon-bazaar-hero-539ce48b.webp","google_places","google_places_api",true,2
"Pravaas - South Kensington","indian","https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=indian_curry_photo&key=PLACEHOLDER","/images/restaurants/pravaas-south-kensington-KhMpiz4I/indian-pravaas---south-kensington-card-539ce48b.webp","/images/restaurants/pravaas-south-kensington-KhMpiz4I/indian-pravaas---south-kensington-hero-539ce48b.webp","google_places","google_places_api",true,2
"The India - City Road","modern-european","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://theindia2.restaurant//og-image.jpg","/images/restaurants/the-india-city-road-EvFfZ5AI/moderneuropean-the-india---city-road-card-c6bd7d5f.webp","/images/restaurants/the-india-city-road-EvFfZ5AI/moderneuropean-the-india---city-road-hero-c6bd7d5f.webp","official_site","official_website",false,0
"Circolo Popolare","italian","https://images.unsplash.com/photo-1551218808-93d42e57582b?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=italian_pasta_photo&key=PLACEHOLDER","/images/restaurants/circolo-popolare-kqYLufoE/italian-circolo-popolare-card-a7a2635d.webp","/images/restaurants/circolo-popolare-kqYLufoE/italian-circolo-popolare-hero-a7a2635d.webp","google_places","google_places_api",true,2
"Grasso","italian","https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=1600&h=1200&fit=crop&crop=center&q=85&auto=format","https://maps.googleapis.com/maps/api/place/photo?maxwidth=1600&photo_reference=italian_pasta_photo&key=PLACEHOLDER","/images/restaurants/grasso-VxepVY0I/italian-grasso-card-a7a2635d.webp","/images/restaurants/grasso-VxepVY0I/italian-grasso-hero-a7a2635d.webp","google_places","google_places_api",true,2
